review_id,user_id,user_name,film_title,rating,review_text,review_date
1,328,user_328,Inception,1,Not my cup of tea. I struggled to finish it. Really well done.,1/3/2015
2,72,user_072,Double Indemnity,4,Avoidable — wasted potential and boring in places.,3/31/2023
3,217,user_217,Vertigo,1,Disappointing. Expected more based on hype. Really well done.,5/2/2021
4,309,user_309,Schindler's List,8,Brilliant — outstanding acting and a memorable soundtrack. Strong visuals.,12/11/2014
5,230,user_230,Shutter Island,6,"It was okay — some parts worked, some didn't. Really well done.",8/29/2025
6,217,user_217,Toy Story 4,6,Average movie. Enjoyable in parts but not perfect. Not for everyone.,4/17/2012
7,48,user_048,The Hurt Locker,3,Not my cup of tea. I struggled to finish it. Great cast.,12/7/2015
8,414,user_414,The Godfather Part II,9,Brilliant — outstanding acting and a memorable soundtrack.,6/28/2018
9,41,user_041,Dead Poets Society,6,Solid film but forgettable after a while. Not for everyone.,12/13/2022
10,99,user_099,The Apartment (1960),3,Disappointing. Expected more based on hype. Not for everyone.,10/16/2011
11,438,user_438,Eternal Sunshine of the Spotless Mind,9,Entertaining from start to finish. I'll watch it again. Not for everyone.,3/3/2020
12,326,user_326,The Bourne Identity,5,"Decent watch, but I wouldn't call it exceptional. Really well done.",1/12/2025
13,137,user_137,Modern Times,10,Absolutely loved it — one of the best I've seen. Highly recommend. Great cast.,3/29/2024
14,88,user_088,The Shape of Water,9,Fantastic film with great performances and direction. Strong visuals.,7/6/2018
15,139,user_139,Rebecca,9,Fantastic film with great performances and direction. Could be shorter.,4/10/2017
16,432,user_432,Classic Film 7,9,Fantastic film with great performances and direction.,1/28/2017
17,206,user_206,"The Good, the Bad and the Ugly",3,Avoidable — wasted potential and boring in places. Could be shorter.,1/21/2017
18,109,user_109,The Apartment,7,Mixed feelings: good acting but pacing felt off. Really well done.,12/10/2015
19,72,user_072,Amélie,9,Brilliant — outstanding acting and a memorable soundtrack. Not for everyone.,2/10/2023
20,220,user_220,Prisoners,7,Average movie. Enjoyable in parts but not perfect. Really well done.,6/6/2021
21,253,user_253,Back to the Future,9,Absolutely loved it — one of the best I've seen. Highly recommend. Really well done.,1/28/2024
